ID,Sport,League,Home,Away,Time,Odds Count
football:dynamo kyiv laikingdast:crystal palace kraftvk:20260118,football,Esports Battle (2x4min),Dynamo Kyiv (LaikingDast),Crystal Palace (KraftVK),2026-01-18 12:38:00,26
football:ebro:náxara:20260118,football,Segunda RFEF 2,Ebro,Náxara CD,2026-01-18 14:45:00,68
football:eindhoven:willem ii:20260118,football,Eerste Divisie,FC Eindhoven,Willem II,2026-01-18 15:45:00,153
football:elche:sevilla:20260119,football,La Liga,Elche CF,Sevilla FC,2026-01-19 20:00:00,171
football:elfenbenskusten:ecuador:20260614,football,VM 2026,Elfenbenskusten,Ecuador,2026-06-14 18:00:00,149
football:emmen:jong ajax:20260124,football,Eerste Divisie,FC Emmen,Jong Ajax,2026-01-24 15:30:00,152
football:england cevuu:argentina bolec:20260118,football,eSports Battle (2x6 min),England (Cevuu),Argentina (Bolec),2026-01-18 13:48:00,26
football:england cevuu:spanien glumac:20260118,football,eSports Battle (2x6 min),England (Cevuu),Spanien (Glumac),2026-01-18 14:42:00,26
football:england double_s:spanien ar2r:20260118,football,Cyber Live Arena (2x5 min),England (Double_S),Spanien (ar2r),2026-01-18 14:06:00,27
football:england:kroatien:20260617,football,VM 2026,England,Kroatien,2026-06-17 18:00:00,154
football:eskişehirspor:bergama belediyespor:20260118,football,3. Ligi,Eskişehirspor,Bergama Belediyespor,2026-01-18 14:00:00,16
football:espanyol b:reus fc reddis:20260118,football,Segunda RFEF 3,Espanyol B,Reus FC Reddis,2026-01-18 15:15:00,72
