ID,Sport,League,Home,Away,Time,Odds Count
basketball:sacred heart pioneers:rider broncs:20260119,basketball,College Basketball,Sacred Heart Pioneers,Rider Broncs,2026-01-19 19:00:00,2
basketball:saint josephs hawks:syracuse orange:20251122,basketball,College Basketball,Saint Joseph's Hawks,Syracuse Orange,2025-11-22 05:00:00,2
basketball:saint josephs hawks:vcu rams:20260119,basketball,College Basketball,Saint Joseph's Hawks,VCU Rams,2026-01-19 20:00:00,2
basketball:saint louis billikens:fordham rams w:20260121,basketball,College Women's Basketball,Saint Louis Billikens,Fordham Rams (W),2026-01-21 16:00:00,2
basketball:saint peters peacocks:iona gaels w:20260119,basketball,College Women's Basketball,Saint Peter's Peacocks,Iona Gaels (W),2026-01-19 18:00:00,2
basketball:san diego state aztecs:utah state aggies:20260111,basketball,College Basketball,San Diego State Aztecs,Utah State Aggies,2026-01-11 05:00:00,2
basketball:saski baskonia:manresa:20260118,basketball,ACB Liga Endesa,Saski Baskonia,Manresa,2026-01-18 16:00:00,2
basketball:shanghai sharks:beijing ducks:20260120,basketball,Chinese CBA,Shanghai Sharks,Beijing Ducks,2026-01-20 11:35:00,2
basketball:shanghai sharks:xinjiang flying tigers:20260118,basketball,Chinese CBA,Shanghai Sharks,Xinjiang Flying Tigers,2026-01-18 11:35:00,2
basketball:shanxi loongs:fujian sturgeons:20260118,basketball,Chinese CBA,Shanxi Loongs,Fujian Sturgeons,2026-01-18 11:35:00,2
basketball:shanxi loongs:liaoning flying leopards:20260120,basketball,Chinese CBA,Shanxi Loongs,Liaoning Flying Leopards,2026-01-20 11:35:00,2
basketball:sichuan blue whales:guangdong southern tigers:20260119,basketball,Chinese CBA,Sichuan Blue Whales,Guangdong Southern Tigers,2026-01-19 11:35:00,2
basketball:siena saints:fairfield stags w:20260119,basketball,College Women's Basketball,Siena Saints,Fairfield Stags (W),2026-01-19 19:00:00,2
basketball:smu mustangs:pittsburgh panthers w:20260118,basketball,College Women's Basketball,SMU Mustangs,Pittsburgh Panthers (W),2026-01-18 18:00:00,2
basketball:south carolina central christian gladiators:western carolina catamounts w:20260103,basketball,College Women's Basketball,South Carolina Central Christian Gladiators,Western Carolina Catamounts (W),2026-01-03 19:00:00,2
basketball:south carolina gamecocks:california baptist lancers:20251104,basketball,College Basketball,South Carolina Gamecocks,California Baptist Lancers,2025-11-04 03:30:00,2
basketball:south carolina gamecocks:coppin state eagles w:20260118,basketball,College Women's Basketball,South Carolina Gamecocks,Coppin State Eagles (W),2026-01-18 17:00:00,2
basketball:south carolina state bulldogs:south dakota coyotes:20251124,basketball,College Basketball,South Carolina State Bulldogs,South Dakota Coyotes,2025-11-24 19:00:00,2
basketball:south east melbourne phoenix:cairns taipans:20260124,basketball,NBL Australia,South East Melbourne Phoenix,Cairns Taipans,2026-01-24 06:30:00,2
basketball:south east melbourne phoenix:new zealand breakers:20260121,basketball,NBL Australia,South East Melbourne Phoenix,New Zealand Breakers,2026-01-21 08:30:00,2
basketball:south florida bulls:temple owls w:20260121,basketball,College Women's Basketball,South Florida Bulls,Temple Owls (W),2026-01-21 00:00:00,2
basketball:southern miss golden eagles:prairie view am panthers:20251124,basketball,College Basketball,Southern Miss Golden Eagles,Prairie View A&M Panthers,2025-11-24 05:00:00,2
basketball:spurs:jazz:20260123,basketball,NBA,Spurs,Jazz,2026-01-23 02:00:00,2
basketball:spurs:rockets:20260121,basketball,NBA,Spurs,Rockets,2026-01-21 01:00:00,2
basketball:st bonaventure bonnies:fordham rams w:20260118,basketball,College Women's Basketball,St. Bonaventure Bonnies,Fordham Rams (W),2026-01-18 19:00:00,2
basketball:stanford cardinal:syracuse orange w:20260118,basketball,College Women's Basketball,Stanford Cardinal,Syracuse Orange (W),2026-01-18 19:00:00,2
basketball:stonehill skyhawks:st francis pa red flash:20260119,basketball,College Basketball,Stonehill Skyhawks,St. Francis (PA) Red Flash,2026-01-19 17:00:00,2
basketball:suns:blackhawks:20260124,basketball,NBA,Suns,Hawks,2026-01-24 00:30:00,2
basketball:suns:knicks:20260118,basketball,NBA,Suns,Knicks,2026-01-18 00:30:00,2
basketball:suns:nets:20260120,basketball,NBA,Suns,Nets,2026-01-20 00:30:00,2
basketball:suns:sixers:20260121,basketball,NBA,Suns,76ers,2026-01-21 00:00:00,2
basketball:sydney kings:adelaide 36ers:20260125,basketball,NBL Australia,Sydney Kings,Adelaide 36ers,2026-01-25 03:30:00,2
basketball:sydney kings:tasmania jackjumpers:20260122,basketball,NBL Australia,Sydney Kings,Tasmania JackJumpers,2026-01-22 08:30:00,2
basketball:tasmania jackjumpers:illawarra hawks:20260124,basketball,NBL Australia,Tasmania JackJumpers,Illawarra Hawks,2026-01-24 09:00:00,2
basketball:tennessee volunteers:alabama crimson tide w:20260118,basketball,College Women's Basketball,Tennessee Volunteers,Alabama Crimson Tide (W),2026-01-18 19:00:00,2
basketball:texas am aggies:texas longhorns w:20260118,basketball,College Women's Basketball,Texas A&M Aggies,Texas Longhorns (W),2026-01-18 21:00:00,2
basketball:thunder:bucks:20260122,basketball,NBA,Thunder,Bucks,2026-01-22 02:30:00,2
basketball:thunder:cavaliers:20260119,basketball,NBA,Thunder,Cavaliers,2026-01-19 19:30:00,6
basketball:tianjin pioneers:nanjing monkey king:20260118,basketball,Chinese CBA,Tianjin Pioneers,Nanjing Monkey King,2026-01-18 11:35:00,2
basketball:tianjin pioneers:ningbo rockets:20260120,basketball,Chinese CBA,Tianjin Pioneers,Ningbo Rockets,2026-01-20 11:35:00,2
basketball:timberwolves:jazz:20260121,basketball,NBA,Timberwolves,Jazz,2026-01-21 02:00:00,2
basketball:tofas:alba berlin:20260120,basketball,Basketball CL,Tofas,Alba Berlin,2026-01-20 11:00:00,2
basketball:toledo rockets:eastern michigan eagles w:20260120,basketball,College Women's Basketball,Toledo Rockets,Eastern Michigan Eagles (W),2026-01-20 23:30:00,2
basketball:toledo rockets:kent state golden flashes:20260117,basketball,College Basketball,Toledo Rockets,Kent State Golden Flashes,2026-01-17 05:00:00,2
basketball:towson tigers:stony brook seawolves w:20260118,basketball,College Women's Basketball,Towson Tigers,Stony Brook Seawolves (W),2026-01-18 17:00:00,2
basketball:tulsa golden hurricane:uab blazers:20260118,basketball,College Basketball,Tulsa Golden Hurricane,UAB Blazers,2026-01-18 20:00:00,6
basketball:uc riverside highlanders:hawaii rainbow warriors w:20260102,basketball,College Women's Basketball,UC Riverside Highlanders,Hawaii Rainbow Warriors (W),2026-01-02 04:59:00,2
basketball:uic flames:southern illinois salukis w:20260118,basketball,College Women's Basketball,UIC Flames,Southern Illinois Salukis (W),2026-01-18 20:00:00,2
basketball:umbc retrievers:binghamton bearcats:20260119,basketball,College Basketball,UMBC Retrievers,Binghamton Bearcats,2026-01-19 19:00:00,2
basketball:unicaja:wuerzburg:20260121,basketball,Basketball CL,Unicaja,Wuerzburg,2026-01-21 19:30:00,2
basketball:union de santa fe:san lorenzo:20260119,basketball,Argentine LNB,Union De Santa Fe,San Lorenzo,2026-01-19 23:30:00,2
basketball:university of texas at dallas comets:stephen f austin lumberjacks:20251221,basketball,College Basketball,University of Texas at Dallas Comets,Stephen F. Austin Lumberjacks,2025-12-21 19:00:00,2
basketball:university of the virgin islands buccaneers:arkansaspine bluff golden lions w:20251221,basketball,College Women's Basketball,University of the Virgin Islands Buccaneers,Arkansas-Pine Bluff Golden Lions (W),2025-12-21 21:00:00,2
basketball:unlv runnin rebels:utah state aggies:20260108,basketball,College Basketball,UNLV Runnin' Rebels,Utah State Aggies,2026-01-08 05:00:00,2
basketball:ut martin skyhawks:southeast missouri state redhawks w:20260120,basketball,College Women's Basketball,UT Martin Skyhawks,Southeast Missouri State Redhawks (W),2026-01-20 23:15:00,2
basketball:utah state aggies:colorado state rams:20260109,basketball,College Basketball,Utah State Aggies,Colorado State Rams,2026-01-09 05:00:00,2
basketball:utah state aggies:grand canyon antelopes:20260107,basketball,College Basketball,Utah State Aggies,Grand Canyon Antelopes,2026-01-07 05:00:00,2
basketball:utah state aggies:new mexico lobos:20260112,basketball,College Basketball,Utah State Aggies,New Mexico Lobos,2026-01-12 05:00:00,2
basketball:utah state aggies:san diego state aztecs:20260118,basketball,College Basketball,Utah State Aggies,San Diego State Aztecs,2026-01-18 05:00:00,2
basketball:utsa roadrunners:memphis tigers:20260118,basketball,College Basketball,UTSA Roadrunners,Memphis Tigers,2026-01-18 23:00:00,6
basketball:vcu rams:richmond spiders w:20260118,basketball,College Women's Basketball,VCU Rams,Richmond Spiders (W),2026-01-18 17:00:00,2
basketball:vermont catamounts:albany great danes:20260119,basketball,College Basketball,Vermont Catamounts,Albany Great Danes,2026-01-19 18:00:00,2
basketball:virginia cavaliers:vmi keydets:20251112,basketball,College Basketball,Virginia Cavaliers,VMI Keydets,2025-11-12 23:00:00,2
basketball:virtus bologna:universo treviso basket:20260118,basketball,Basketball Serie A,Virtus Bologna,Universo Treviso Basket,2026-01-18 18:00:00,2
basketball:wagner seahawks:fairleigh dickinson knights:20260119,basketball,College Basketball,Wagner Seahawks,Fairleigh Dickinson Knights,2026-01-19 19:00:00,2
basketball:wake forest demon deacons:clemson tigers w:20260118,basketball,College Women's Basketball,Wake Forest Demon Deacons,Clemson Tigers (W),2026-01-18 17:00:00,2
